concrete_question_id,abstract_question_id,word_count_difference,enem_correctness_difference,z_log_total_word_count_difference,z_enem_correctness_difference,matching_distance,matched_pair_flag,matched_pair_rule
2017_CH_47,2019_CH_56,-10.0,0.1353068115443753,-0.3593025331180167,1.0262013308849318,1.3855038640029484,False,|z(log word count difference)| <= 0.5 and |z(ENEM correctness difference)| <= 0.5
2017_CH_47,2019_CH_64,-45.0,-0.076327217479358,-1.3112226600808086,-0.5788850632576807,1.8901077233384893,False,|z(log word count difference)| <= 0.5 and |z(ENEM correctness difference)| <= 0.5
2017_CH_47,2019_CH_65,-26.0,0.18461546601473555,-0.8414843903557985,1.4001707287598786,2.241655119115677,False,|z(log word count difference)| <= 0.5 and |z(ENEM correctness difference)| <= 0.5
2017_CH_47,2020_CH_76,-16.0,0.21220023902125895,-0.5516332635990202,1.6093806750172353,2.1610139386162555,False,|z(log word count difference)| <= 0.5 and |z(ENEM correctness difference)| <= 0.5
2017_CH_47,2020_CH_77,-17.0,0.23502237224128025,-0.5822432492504609,1.7824695477554582,2.364712797005919,False,|z(log word count difference)| <= 0.5 and |z(ENEM correctness difference)| <= 0.5
2017_CH_47,2020_LC_31,-65.0,0.08002142295143949,-1.7229710721271785,0.6069028587311123,2.329873930858291,False,|z(log word count difference)| <= 0.5 and |z(ENEM correctness difference)| <= 0.5
2017_CH_47,2021_CH_51,6.0,0.058901186335785394,0.24456868734124565,0.44672160343280964,0.6912902907740552,True,|z(log word count difference)| <= 0.5 and |z(ENEM correctness difference)| <= 0.5
2017_CH_47,2021_CH_57,18.0,0.22367155439279496,0.8240452680320376,1.6963820533433391,2.5204273213753767,False,|z(log word count difference)| <= 0.5 and |z(ENEM correctness difference)| <= 0.5
2017_CH_47,2021_CH_65,-8.0,-0.1586839962731572,-0.29161210256194936,-1.2034998556761338,1.4951119582380832,False,|z(log word count difference)| <= 0.5 and |z(ENEM correctness difference)| <= 0.5
2017_CH_47,2021_CH_83,-58.0,0.09316941972601944,-1.5867405874132454,0.7066206159862208,2.293361203399466,False,|z(log word count difference)| <= 0.5 and |z(ENEM correctness difference)| <= 0.5
2017_CH_47,2021_CH_86,2.0,-0.027924565943499347,0.0787890709745897,-0.211787022460469,0.2905760934350587,True,|z(log word count difference)| <= 0.5 and |z(ENEM correctness difference)| <= 0.5
2017_CH_47,2022_CH_47,-52.0,0.054249733630595265,-1.4634904242806914,0.4114438010654916,1.8749342253461831,False,|z(log word count difference)| <= 0.5 and |z(ENEM correctness difference)| <= 0.5
2017_CH_47,2022_CH_51,-29.0,0.27353283058911426,-0.9220344371355571,2.074542675179462,2.996577112315019,False,|z(log word count difference)| <= 0.5 and |z(ENEM correctness difference)| <= 0.5
2017_CH_47,2022_CH_60,-27.0,0.07506115398312718,-0.8686355422753864,0.5692829151471197,1.4379184574225061,False,|z(log word count difference)| <= 0.5 and |z(ENEM correctness difference)| <= 0.5
2017_CH_47,2022_CH_71,3.0,0.08384917657204699,0.11917407839156008,0.6359335173870425,0.7551075957786026,False,|z(log word count difference)| <= 0.5 and |z(ENEM correctness difference)| <= 0.5
2017_CH_68,2019_CH_56,-23.0,-0.18568025678910358,-0.9247273113147602,-1.4082463732695574,2.3329736845843176,False,|z(log word count difference)| <= 0.5 and |z(ENEM correctness difference)| <= 0.5
2017_CH_68,2019_CH_64,-58.0,-0.3973142858128369,-1.876647438277552,-3.01333276741217,4.889980205689722,False,|z(log word count difference)| <= 0.5 and |z(ENEM correctness difference)| <= 0.5
2017_CH_68,2019_CH_65,-39.0,-0.13637160231874332,-1.4069091685525419,-1.0342769753946106,2.4411861439471525,False,|z(log word count difference)| <= 0.5 and |z(ENEM correctness difference)| <= 0.5
2017_CH_68,2020_CH_76,-29.0,-0.10878682931221992,-1.1170580417957636,-0.8250670291372538,1.9421250709330176,False,|z(log word count difference)| <= 0.5 and |z(ENEM correctness difference)| <= 0.5
2017_CH_68,2020_CH_77,-30.0,-0.08596469609219862,-1.1476680274472044,-0.651978156399031,1.7996461838462354,False,|z(log word count difference)| <= 0.5 and |z(ENEM correctness difference)| <= 0.5
2017_CH_68,2020_LC_31,-78.0,-0.24096564538203938,-2.288395850323922,-1.827544845423377,4.115940695747299,False,|z(log word count difference)| <= 0.5 and |z(ENEM correctness difference)| <= 0.5
2017_CH_68,2021_CH_51,-7.0,-0.26208588199769345,-0.3208560908554978,-1.9877261007216795,2.3085821915771776,False,|z(log word count difference)| <= 0.5 and |z(ENEM correctness difference)| <= 0.5
2017_CH_68,2021_CH_57,5.0,-0.09731551394068391,0.2586204898352942,-0.73806565081115,0.9966861406464442,False,|z(log word count difference)| <= 0.5 and |z(ENEM correctness difference)| <= 0.5
2017_CH_68,2021_CH_65,-21.0,-0.4796710646066361,-0.8570368807586929,-3.6379475598306232,4.494984440589316,False,|z(log word count difference)| <= 0.5 and |z(ENEM correctness difference)| <= 0.5
2017_CH_68,2021_CH_83,-71.0,-0.22781764860745943,-2.1521653656099886,-1.7278270881682682,3.879992453778257,False,|z(log word count difference)| <= 0.5 and |z(ENEM correctness difference)| <= 0.5
2017_CH_68,2021_CH_86,-11.0,-0.34891163427697824,-0.48663570722215377,-2.646234726614958,3.132870433837112,False,|z(log word count difference)| <= 0.5 and |z(ENEM correctness difference)| <= 0.5
2017_CH_68,2022_CH_47,-65.0,-0.26673733470288363,-2.028915202477435,-2.0230039030889975,4.051919105566432,False,|z(log word count difference)| <= 0.5 and |z(ENEM correctness difference)| <= 0.5
2017_CH_68,2022_CH_51,-42.0,-0.04745423774436461,-1.4874592153323007,-0.3599050289750273,1.847364244307328,False,|z(log word count difference)| <= 0.5 and |z(ENEM correctness difference)| <= 0.5
2017_CH_68,2022_CH_60,-40.0,-0.2459259143503517,-1.4340603204721298,-1.8651647890073695,3.299225109479499,False,|z(log word count difference)| <= 0.5 and |z(ENEM correctness difference)| <= 0.5
2017_CH_68,2022_CH_71,-10.0,-0.23713789176143188,-0.4462506998051834,-1.7985141867674468,2.2447648865726304,False,|z(log word count difference)| <= 0.5 and |z(ENEM correctness difference)| <= 0.5
2017_CH_69,2019_CH_56,-10.0,-0.10863356225935866,-0.3593025331180167,-0.8239046127604887,1.1832071458785054,False,|z(log word count difference)| <= 0.5 and |z(ENEM correctness difference)| <= 0.5
2017_CH_69,2019_CH_64,-45.0,-0.32026759128309196,-1.3112226600808086,-2.428991006903101,3.7402136669839097,False,|z(log word count difference)| <= 0.5 and |z(ENEM correctness difference)| <= 0.5
2017_CH_69,2019_CH_65,-26.0,-0.059324907788998404,-0.8414843903557985,-0.44993521488554195,1.2914196052413405,False,|z(log word count difference)| <= 0.5 and |z(ENEM correctness difference)| <= 0.5
2017_CH_69,2020_CH_76,-16.0,-0.031740134782475005,-0.5516332635990202,-0.2407252686281851,0.7923585322272053,False,|z(log word count difference)| <= 0.5 and |z(ENEM correctness difference)| <= 0.5
2017_CH_69,2020_CH_77,-17.0,-0.008918001562453703,-0.5822432492504609,-0.06763639588996229,0.6498796451404232,False,|z(log word count difference)| <= 0.5 and |z(ENEM correctness difference)| <= 0.5
2017_CH_69,2020_LC_31,-65.0,-0.16391895085229446,-1.7229710721271785,-1.243203084914308,2.9661741570414866,False,|z(log word count difference)| <= 0.5 and |z(ENEM correctness difference)| <= 0.5
2017_CH_69,2021_CH_51,6.0,-0.18503918746794856,0.24456868734124565,-1.403384340212611,1.6479530275538565,False,|z(log word count difference)| <= 0.5 and |z(ENEM correctness difference)| <= 0.5
2017_CH_69,2021_CH_57,18.0,-0.020268819410939,0.8240452680320376,-0.15372389030208133,0.9777691583341189,False,|z(log word count difference)| <= 0.5 and |z(ENEM correctness difference)| <= 0.5
2017_CH_69,2021_CH_65,-8.0,-0.40262437007689117,-0.29161210256194936,-3.0536057993215544,3.3452179018835038,False,|z(log word count difference)| <= 0.5 and |z(ENEM correctness difference)| <= 0.5
2017_CH_69,2021_CH_83,-58.0,-0.15077095407771451,-1.5867405874132454,-1.1434853276591996,2.7302259150724453,False,|z(log word count difference)| <= 0.5 and |z(ENEM correctness difference)| <= 0.5
2017_CH_69,2021_CH_86,2.0,-0.2718649397472333,0.0787890709745897,-2.0618929661058893,2.140682037080479,False,|z(log word count difference)| <= 0.5 and |z(ENEM correctness difference)| <= 0.5
2017_CH_69,2022_CH_47,-52.0,-0.1896906401731387,-1.4634904242806914,-1.4386621425799289,2.9021525668606203,False,|z(log word count difference)| <= 0.5 and |z(ENEM correctness difference)| <= 0.5
2017_CH_69,2022_CH_51,-29.0,0.029592456785380306,-0.9220344371355571,0.22443673153404142,1.1464711686695985,False,|z(log word count difference)| <= 0.5 and |z(ENEM correctness difference)| <= 0.5
2017_CH_69,2022_CH_60,-27.0,-0.16887921982060677,-0.8686355422753864,-1.2808230284983009,2.149458570773687,False,|z(log word count difference)| <= 0.5 and |z(ENEM correctness difference)| <= 0.5
2017_CH_69,2022_CH_71,3.0,-0.16009119723168697,0.11917407839156008,-1.214172426258378,1.333346504649938,False,|z(log word count difference)| <= 0.5 and |z(ENEM correctness difference)| <= 0.5
2017_CH_75,2019_CH_56,37.0,-0.19613696321052318,0.9964186464208361,-1.487552698825936,2.483971345246772,False,|z(log word count difference)| <= 0.5 and |z(ENEM correctness difference)| <= 0.5
2017_CH_75,2019_CH_64,2.0,-0.4077709922342565,0.04449851945804428,-3.0926390929685486,3.137137612426593,False,|z(log word count difference)| <= 0.5 and |z(ENEM correctness difference)| <= 0.5
2017_CH_75,2019_CH_65,21.0,-0.14682830874016292,0.5142367891830544,-1.1135833009509892,1.6278200901340436,False,|z(log word count difference)| <= 0.5 and |z(ENEM correctness difference)| <= 0.5
2017_CH_75,2020_CH_76,31.0,-0.11924353573363952,0.8040879159398326,-0.9043733546936324,1.7084612706334652,False,|z(log word count difference)| <= 0.5 and |z(ENEM correctness difference)| <= 0.5
2017_CH_75,2020_CH_77,30.0,-0.09642140251361822,0.773477930288392,-0.7312844819554096,1.5047624122438017,False,|z(log word count difference)| <= 0.5 and |z(ENEM correctness difference)| <= 0.5
2017_CH_75,2020_LC_31,-18.0,-0.25142235180345895,-0.36724989258832563,-1.9068511709797555,2.2741010635680814,False,|z(log word count difference)| <= 0.5 and |z(ENEM correctness difference)| <= 0.5
2017_CH_75,2021_CH_51,53.0,-0.27254258841911305,1.6002898668800984,-2.0670324262780584,3.667322293158157,False,|z(log word count difference)| <= 0.5 and |z(ENEM correctness difference)| <= 0.5
2017_CH_75,2021_CH_57,65.0,-0.10777222036210352,2.1797664475708904,-0.8173719763675287,2.997138423938419,False,|z(log word count difference)| <= 0.5 and |z(ENEM correctness difference)| <= 0.5
2017_CH_75,2021_CH_65,39.0,-0.4901277710280557,1.0641090769769035,-3.7172538853870014,4.781362962363905,False,|z(log word count difference)| <= 0.5 and |z(ENEM correctness difference)| <= 0.5
2017_CH_75,2021_CH_83,-11.0,-0.23827435502887903,-0.23101940787439257,-1.8071334137246469,2.0381528215990397,False,|z(log word count difference)| <= 0.5 and |z(ENEM correctness difference)| <= 0.5
2017_CH_75,2021_CH_86,49.0,-0.35936834069839785,1.4345102505134424,-2.725541052171337,4.16005130268478,False,|z(log word count difference)| <= 0.5 and |z(ENEM correctness difference)| <= 0.5
2017_CH_75,2022_CH_47,-5.0,-0.27719404112430324,-0.10776924474183858,-2.102310228645376,2.2100794733872147,False,|z(log word count difference)| <= 0.5 and |z(ENEM correctness difference)| <= 0.5
2017_CH_75,2022_CH_51,18.0,-0.05791094416578421,0.43368674240329563,-0.4392113545314059,0.8728980969347016,True,|z(log word count difference)| <= 0.5 and |z(ENEM correctness difference)| <= 0.5
2017_CH_75,2022_CH_60,20.0,-0.2563826207717713,0.48708563726346643,-1.944471114563748,2.4315567518272143,False,|z(log word count difference)| <= 0.5 and |z(ENEM correctness difference)| <= 0.5
2017_CH_75,2022_CH_71,50.0,-0.24759459818285148,1.4748952579304129,-1.8778205123238254,3.352715770254238,False,|z(log word count difference)| <= 0.5 and |z(ENEM correctness difference)| <= 0.5
2018_CH_77,2019_CH_56,-22.0,-0.18222784878019777,-0.8761832081852119,-1.3820624313596186,2.2582456395448305,False,|z(log word count difference)| <= 0.5 and |z(ENEM correctness difference)| <= 0.5
2018_CH_77,2019_CH_64,-57.0,-0.39386187780393106,-1.8281033351480036,-2.9871488255022314,4.815252160650235,False,|z(log word count difference)| <= 0.5 and |z(ENEM correctness difference)| <= 0.5
2018_CH_77,2019_CH_65,-38.0,-0.1329191943098375,-1.3583650654229937,-1.0080930334846718,2.366458098907666,False,|z(log word count difference)| <= 0.5 and |z(ENEM correctness difference)| <= 0.5
2018_CH_77,2020_CH_76,-28.0,-0.10533442130331411,-1.0685139386662155,-0.798883087227315,1.8673970258935304,False,|z(log word count difference)| <= 0.5 and |z(ENEM correctness difference)| <= 0.5
2018_CH_77,2020_CH_77,-29.0,-0.0825122880832928,-1.099123924317656,-0.6257942144890922,1.7249181388067483,False,|z(log word count difference)| <= 0.5 and |z(ENEM correctness difference)| <= 0.5
2018_CH_77,2020_LC_31,-77.0,-0.23751323737313357,-2.2398517471943737,-1.8013609035134381,4.041212650707812,False,|z(log word count difference)| <= 0.5 and |z(ENEM correctness difference)| <= 0.5
